placename,year_week,year,week,common_name,n_detections,sampling_days,detection_rate
BCAM1,2023-W41,2023,W41,American Badger,0,7,0
BCAM1,2023-W41,2023,W41,Bobcat,1,7,0.14285714285714285
BCAM1,2023-W41,2023,W41,Coyote,0,7,0
BCAM1,2023-W41,2023,W41,Domestic Cattle,0,7,0
BCAM1,2023-W41,2023,W41,Domestic Dog,0,7,0
BCAM1,2023-W41,2023,W41,Human,0,7,0
BCAM1,2023-W41,2023,W41,Human-Camera Trapper,0,7,0
BCAM1,2023-W41,2023,W41,Mule Deer,1,7,0.14285714285714285
BCAM1,2023-W41,2023,W41,North American River Otter,0,7,0
BCAM1,2023-W41,2023,W41,Northern Elephant Seal,0,7,0
BCAM1,2023-W41,2023,W41,Northern Raccoon,1,7,0.14285714285714285
BCAM1,2023-W41,2023,W41,Striped Skunk,0,7,0
BCAM1,2023-W41,2023,W41,Brush Rabbit,0,7,0
BCAM1,2023-W41,2023,W41,Californian Sea Lion,0,7,0
BCAM1,2023-W41,2023,W41,Elk,0,7,0
BCAM1,2023-W41,2023,W41,Black-tailed Jackrabbit,0,7,0
BCAM1,2023-W41,2023,W41,Human-Pedestrian,0,7,0
BCAM1,2023-W42,2023,W42,American Badger,0,7,0
BCAM1,2023-W42,2023,W42,Bobcat,1,7,0.14285714285714285
BCAM1,2023-W42,2023,W42,Coyote,0,7,0
BCAM1,2023-W42,2023,W42,Domestic Cattle,0,7,0
BCAM1,2023-W42,2023,W42,Domestic Dog,0,7,0
BCAM1,2023-W42,2023,W42,Human,7,7,1
BCAM1,2023-W42,2023,W42,Human-Camera Trapper,0,7,0
BCAM1,2023-W42,2023,W42,Mule Deer,4,7,0.5714285714285714
BCAM1,2023-W42,2023,W42,North American River Otter,0,7,0
BCAM1,2023-W42,2023,W42,Northern Elephant Seal,0,7,0
BCAM1,2023-W42,2023,W42,Northern Raccoon,2,7,0.2857142857142857
BCAM1,2023-W42,2023,W42,Striped Skunk,0,7,0
BCAM1,2023-W42,2023,W42,Brush Rabbit,0,7,0
BCAM1,2023-W42,2023,W42,Californian Sea Lion,0,7,0
BCAM1,2023-W42,2023,W42,Elk,0,7,0
BCAM1,2023-W42,2023,W42,Black-tailed Jackrabbit,0,7,0
BCAM1,2023-W42,2023,W42,Human-Pedestrian,0,7,0
BCAM1,2023-W43,2023,W43,American Badger,0,8,0
BCAM1,2023-W43,2023,W43,Bobcat,2,8,0.25
BCAM1,2023-W43,2023,W43,Coyote,0,8,0
BCAM1,2023-W43,2023,W43,Domestic Cattle,0,8,0
BCAM1,2023-W43,2023,W43,Domestic Dog,1,8,0.125
BCAM1,2023-W43,2023,W43,Human,3,8,0.375
BCAM1,2023-W43,2023,W43,Human-Camera Trapper,2,8,0.25
BCAM1,2023-W43,2023,W43,Mule Deer,1,8,0.125
BCAM1,2023-W43,2023,W43,North American River Otter,0,8,0
BCAM1,2023-W43,2023,W43,Northern Elephant Seal,0,8,0
BCAM1,2023-W43,2023,W43,Northern Raccoon,0,8,0
BCAM1,2023-W43,2023,W43,Striped Skunk,0,8,0
BCAM1,2023-W43,2023,W43,Brush Rabbit,0,8,0
BCAM1,2023-W43,2023,W43,Californian Sea Lion,0,8,0
BCAM1,2023-W43,2023,W43,Elk,0,8,0
BCAM1,2023-W43,2023,W43,Black-tailed Jackrabbit,0,8,0
BCAM1,2023-W43,2023,W43,Human-Pedestrian,0,8,0
BCAM1,2024-W17,2024,W17,American Badger,0,7,0
BCAM1,2024-W17,2024,W17,Bobcat,1,7,0.14285714285714285
BCAM1,2024-W17,2024,W17,Coyote,0,7,0
BCAM1,2024-W17,2024,W17,Domestic Cattle,0,7,0
BCAM1,2024-W17,2024,W17,Domestic Dog,0,7,0
BCAM1,2024-W17,2024,W17,Human,6,7,0.8571428571428571
BCAM1,2024-W17,2024,W17,Human-Camera Trapper,0,7,0
BCAM1,2024-W17,2024,W17,Mule Deer,0,7,0
BCAM1,2024-W17,2024,W17,North American River Otter,0,7,0
BCAM1,2024-W17,2024,W17,Northern Elephant Seal,0,7,0
BCAM1,2024-W17,2024,W17,Northern Raccoon,0,7,0
BCAM1,2024-W17,2024,W17,Striped Skunk,0,7,0
BCAM1,2024-W17,2024,W17,Brush Rabbit,0,7,0
BCAM1,2024-W17,2024,W17,Californian Sea Lion,0,7,0
BCAM1,2024-W17,2024,W17,Elk,0,7,0
BCAM1,2024-W17,2024,W17,Black-tailed Jackrabbit,0,7,0
BCAM1,2024-W17,2024,W17,Human-Pedestrian,0,7,0
BCAM1,2024-W18,2024,W18,American Badger,0,8,0
BCAM1,2024-W18,2024,W18,Bobcat,1,8,0.125
BCAM1,2024-W18,2024,W18,Coyote,0,8,0
BCAM1,2024-W18,2024,W18,Domestic Cattle,0,8,0
BCAM1,2024-W18,2024,W18,Domestic Dog,1,8,0.125
BCAM1,2024-W18,2024,W18,Human,5,8,0.625
BCAM1,2024-W18,2024,W18,Human-Camera Trapper,2,8,0.25
BCAM1,2024-W18,2024,W18,Mule Deer,2,8,0.25
BCAM1,2024-W18,2024,W18,North American River Otter,0,8,0
BCAM1,2024-W18,2024,W18,Northern Elephant Seal,0,8,0
BCAM1,2024-W18,2024,W18,Northern Raccoon,0,8,0
BCAM1,2024-W18,2024,W18,Striped Skunk,0,8,0
BCAM1,2024-W18,2024,W18,Brush Rabbit,0,8,0
BCAM1,2024-W18,2024,W18,Californian Sea Lion,0,8,0
BCAM1,2024-W18,2024,W18,Elk,0,8,0
BCAM1,2024-W18,2024,W18,Black-tailed Jackrabbit,0,8,0
BCAM1,2024-W18,2024,W18,Human-Pedestrian,0,8,0
BCAM1,2024-W20,2024,W20,American Badger,0,7,0
BCAM1,2024-W20,2024,W20,Bobcat,2,7,0.2857142857142857
BCAM1,2024-W20,2024,W20,Coyote,0,7,0
BCAM1,2024-W20,2024,W20,Domestic Cattle,0,7,0
BCAM1,2024-W20,2024,W20,Domestic Dog,0,7,0
BCAM1,2024-W20,2024,W20,Human,3,7,0.42857142857142855
BCAM1,2024-W20,2024,W20,Human-Camera Trapper,0,7,0
BCAM1,2024-W20,2024,W20,Mule Deer,1,7,0.14285714285714285
BCAM1,2024-W20,2024,W20,North American River Otter,0,7,0
BCAM1,2024-W20,2024,W20,Northern Elephant Seal,0,7,0
BCAM1,2024-W20,2024,W20,Northern Raccoon,0,7,0
BCAM1,2024-W20,2024,W20,Striped Skunk,0,7,0
BCAM1,2024-W20,2024,W20,Brush Rabbit,0,7,0
BCAM1,2024-W20,2024,W20,Californian Sea Lion,0,7,0
BCAM1,2024-W20,2024,W20,Elk,0,7,0
BCAM1,2024-W20,2024,W20,Black-tailed Jackrabbit,0,7,0
BCAM1,2024-W20,2024,W20,Human-Pedestrian,0,7,0
BCAM1,2024-W21,2024,W21,American Badger,0,7,0
BCAM1,2024-W21,2024,W21,Bobcat,2,7,0.2857142857142857
BCAM1,2024-W21,2024,W21,Coyote,0,7,0
BCAM1,2024-W21,2024,W21,Domestic Cattle,0,7,0
BCAM1,2024-W21,2024,W21,Domestic Dog,0,7,0
BCAM1,2024-W21,2024,W21,Human,5,7,0.7142857142857143
BCAM1,2024-W21,2024,W21,Human-Camera Trapper,0,7,0
BCAM1,2024-W21,2024,W21,Mule Deer,2,7,0.2857142857142857
BCAM1,2024-W21,2024,W21,North American River Otter,0,7,0
BCAM1,2024-W21,2024,W21,Northern Elephant Seal,1,7,0.14285714285714285
BCAM1,2024-W21,2024,W21,Northern Raccoon,0,7,0
BCAM1,2024-W21,2024,W21,Striped Skunk,0,7,0
BCAM1,2024-W21,2024,W21,Brush Rabbit,0,7,0
BCAM1,2024-W21,2024,W21,Californian Sea Lion,0,7,0
BCAM1,2024-W21,2024,W21,Elk,0,7,0
BCAM1,2024-W21,2024,W21,Black-tailed Jackrabbit,0,7,0
BCAM1,2024-W21,2024,W21,Human-Pedestrian,0,7,0
BCAM1,2024-W23,2024,W23,American Badger,0,7,0
BCAM1,2024-W23,2024,W23,Bobcat,3,7,0.42857142857142855
BCAM1,2024-W23,2024,W23,Coyote,0,7,0
BCAM1,2024-W23,2024,W23,Domestic Cattle,0,7,0
BCAM1,2024-W23,2024,W23,Domestic Dog,0,7,0
BCAM1,2024-W23,2024,W23,Human,4,7,0.5714285714285714
BCAM1,2024-W23,2024,W23,Human-Camera Trapper,0,7,0
BCAM1,2024-W23,2024,W23,Mule Deer,0,7,0
BCAM1,2024-W23,2024,W23,North American River Otter,0,7,0
BCAM1,2024-W23,2024,W23,Northern Elephant Seal,0,7,0
BCAM1,2024-W23,2024,W23,Northern Raccoon,0,7,0
BCAM1,2024-W23,2024,W23,Striped Skunk,0,7,0
BCAM1,2024-W23,2024,W23,Brush Rabbit,0,7,0
BCAM1,2024-W23,2024,W23,Californian Sea Lion,0,7,0
BCAM1,2024-W23,2024,W23,Elk,0,7,0
BCAM1,2024-W23,2024,W23,Black-tailed Jackrabbit,0,7,0
BCAM1,2024-W23,2024,W23,Human-Pedestrian,0,7,0
BCAM1,2024-W25,2024,W25,American Badger,0,7,0
BCAM1,2024-W25,2024,W25,Bobcat,4,7,0.5714285714285714
BCAM1,2024-W25,2024,W25,Coyote,0,7,0
BCAM1,2024-W25,2024,W25,Domestic Cattle,0,7,0
BCAM1,2024-W25,2024,W25,Domestic Dog,0,7,0
BCAM1,2024-W25,2024,W25,Human,3,7,0.42857142857142855
BCAM1,2024-W25,2024,W25,Human-Camera Trapper,0,7,0
BCAM1,2024-W25,2024,W25,Mule Deer,2,7,0.2857142857142857
BCAM1,2024-W25,2024,W25,North American River Otter,0,7,0
BCAM1,2024-W25,2024,W25,Northern Elephant Seal,0,7,0
BCAM1,2024-W25,2024,W25,Northern Raccoon,0,7,0
BCAM1,2024-W25,2024,W25,Striped Skunk,0,7,0
BCAM1,2024-W25,2024,W25,Brush Rabbit,0,7,0
BCAM1,2024-W25,2024,W25,Californian Sea Lion,0,7,0
BCAM1,2024-W25,2024,W25,Elk,0,7,0
BCAM1,2024-W25,2024,W25,Black-tailed Jackrabbit,0,7,0
BCAM1,2024-W25,2024,W25,Human-Pedestrian,0,7,0
BCAM1,2024-W26,2024,W26,American Badger,0,8,0
BCAM1,2024-W26,2024,W26,Bobcat,2,8,0.25
BCAM1,2024-W26,2024,W26,Coyote,0,8,0
BCAM1,2024-W26,2024,W26,Domestic Cattle,0,8,0
BCAM1,2024-W26,2024,W26,Domestic Dog,0,8,0
BCAM1,2024-W26,2024,W26,Human,1,8,0.125
BCAM1,2024-W26,2024,W26,Human-Camera Trapper,2,8,0.25
BCAM1,2024-W26,2024,W26,Mule Deer,1,8,0.125
BCAM1,2024-W26,2024,W26,North American River Otter,0,8,0
BCAM1,2024-W26,2024,W26,Northern Elephant Seal,0,8,0
BCAM1,2024-W26,2024,W26,Northern Raccoon,0,8,0
BCAM1,2024-W26,2024,W26,Striped Skunk,0,8,0
BCAM1,2024-W26,2024,W26,Brush Rabbit,0,8,0
BCAM1,2024-W26,2024,W26,Californian Sea Lion,0,8,0
BCAM1,2024-W26,2024,W26,Elk,0,8,0
BCAM1,2024-W26,2024,W26,Black-tailed Jackrabbit,0,8,0
BCAM1,2024-W26,2024,W26,Human-Pedestrian,0,8,0
BCAM1,2024-W27,2024,W27,American Badger,0,7,0
BCAM1,2024-W27,2024,W27,Bobcat,2,7,0.2857142857142857
BCAM1,2024-W27,2024,W27,Coyote,1,7,0.14285714285714285
BCAM1,2024-W27,2024,W27,Domestic Cattle,0,7,0
BCAM1,2024-W27,2024,W27,Domestic Dog,0,7,0
BCAM1,2024-W27,2024,W27,Human,6,7,0.8571428571428571
BCAM1,2024-W27,2024,W27,Human-Camera Trapper,0,7,0
BCAM1,2024-W27,2024,W27,Mule Deer,1,7,0.14285714285714285
BCAM1,2024-W27,2024,W27,North American River Otter,0,7,0
BCAM1,2024-W27,2024,W27,Northern Elephant Seal,0,7,0
BCAM1,2024-W27,2024,W27,Northern Raccoon,0,7,0
BCAM1,2024-W27,2024,W27,Striped Skunk,0,7,0
BCAM1,2024-W27,2024,W27,Brush Rabbit,0,7,0
BCAM1,2024-W27,2024,W27,Californian Sea Lion,0,7,0
BCAM1,2024-W27,2024,W27,Elk,0,7,0
BCAM1,2024-W27,2024,W27,Black-tailed Jackrabbit,0,7,0
BCAM1,2024-W27,2024,W27,Human-Pedestrian,0,7,0
BCAM1,2024-W28,2024,W28,American Badger,0,7,0
BCAM1,2024-W28,2024,W28,Bobcat,2,7,0.2857142857142857
BCAM1,2024-W28,2024,W28,Coyote,0,7,0
BCAM1,2024-W28,2024,W28,Domestic Cattle,0,7,0
BCAM1,2024-W28,2024,W28,Domestic Dog,0,7,0
BCAM1,2024-W28,2024,W28,Human,2,7,0.2857142857142857
BCAM1,2024-W28,2024,W28,Human-Camera Trapper,0,7,0
BCAM1,2024-W28,2024,W28,Mule Deer,0,7,0
BCAM1,2024-W28,2024,W28,North American River Otter,0,7,0
BCAM1,2024-W28,2024,W28,Northern Elephant Seal,0,7,0
BCAM1,2024-W28,2024,W28,Northern Raccoon,0,7,0
BCAM1,2024-W28,2024,W28,Striped Skunk,0,7,0
BCAM1,2024-W28,2024,W28,Brush Rabbit,0,7,0
BCAM1,2024-W28,2024,W28,Californian Sea Lion,0,7,0
BCAM1,2024-W28,2024,W28,Elk,0,7,0
BCAM1,2024-W28,2024,W28,Black-tailed Jackrabbit,0,7,0
BCAM1,2024-W28,2024,W28,Human-Pedestrian,0,7,0
BCAM1,2024-W29,2024,W29,American Badger,0,7,0
BCAM1,2024-W29,2024,W29,Bobcat,4,7,0.5714285714285714
BCAM1,2024-W29,2024,W29,Coyote,0,7,0
BCAM1,2024-W29,2024,W29,Domestic Cattle,0,7,0
BCAM1,2024-W29,2024,W29,Domestic Dog,0,7,0
BCAM1,2024-W29,2024,W29,Human,2,7,0.2857142857142857
BCAM1,2024-W29,2024,W29,Human-Camera Trapper,0,7,0
BCAM1,2024-W29,2024,W29,Mule Deer,4,7,0.5714285714285714
BCAM1,2024-W29,2024,W29,North American River Otter,0,7,0
BCAM1,2024-W29,2024,W29,Northern Elephant Seal,0,7,0
BCAM1,2024-W29,2024,W29,Northern Raccoon,0,7,0
BCAM1,2024-W29,2024,W29,Striped Skunk,0,7,0
BCAM1,2024-W29,2024,W29,Brush Rabbit,0,7,0
BCAM1,2024-W29,2024,W29,Californian Sea Lion,0,7,0
BCAM1,2024-W29,2024,W29,Elk,0,7,0
BCAM1,2024-W29,2024,W29,Black-tailed Jackrabbit,0,7,0
BCAM1,2024-W29,2024,W29,Human-Pedestrian,0,7,0
BCAM1,2024-W30,2024,W30,American Badger,0,7,0
BCAM1,2024-W30,2024,W30,Bobcat,2,7,0.2857142857142857
BCAM1,2024-W30,2024,W30,Coyote,1,7,0.14285714285714285
BCAM1,2024-W30,2024,W30,Domestic Cattle,0,7,0
BCAM1,2024-W30,2024,W30,Domestic Dog,0,7,0
BCAM1,2024-W30,2024,W30,Human,4,7,0.5714285714285714
BCAM1,2024-W30,2024,W30,Human-Camera Trapper,0,7,0
BCAM1,2024-W30,2024,W30,Mule Deer,1,7,0.14285714285714285
BCAM1,2024-W30,2024,W30,North American River Otter,0,7,0
BCAM1,2024-W30,2024,W30,Northern Elephant Seal,0,7,0
BCAM1,2024-W30,2024,W30,Northern Raccoon,0,7,0
BCAM1,2024-W30,2024,W30,Striped Skunk,0,7,0
BCAM1,2024-W30,2024,W30,Brush Rabbit,0,7,0
BCAM1,2024-W30,2024,W30,Californian Sea Lion,0,7,0
BCAM1,2024-W30,2024,W30,Elk,0,7,0
BCAM1,2024-W30,2024,W30,Black-tailed Jackrabbit,0,7,0
BCAM1,2024-W30,2024,W30,Human-Pedestrian,0,7,0
BCAM1,2024-W31,2024,W31,American Badger,0,8,0
BCAM1,2024-W31,2024,W31,Bobcat,1,8,0.125
BCAM1,2024-W31,2024,W31,Coyote,0,8,0
BCAM1,2024-W31,2024,W31,Domestic Cattle,0,8,0
BCAM1,2024-W31,2024,W31,Domestic Dog,0,8,0
BCAM1,2024-W31,2024,W31,Human,1,8,0.125
BCAM1,2024-W31,2024,W31,Human-Camera Trapper,4,8,0.5
BCAM1,2024-W31,2024,W31,Mule Deer,8,8,1
BCAM1,2024-W31,2024,W31,North American River Otter,0,8,0
BCAM1,2024-W31,2024,W31,Northern Elephant Seal,0,8,0
BCAM1,2024-W31,2024,W31,Northern Raccoon,0,8,0
BCAM1,2024-W31,2024,W31,Striped Skunk,0,8,0
BCAM1,2024-W31,2024,W31,Brush Rabbit,0,8,0
BCAM1,2024-W31,2024,W31,Californian Sea Lion,0,8,0
BCAM1,2024-W31,2024,W31,Elk,0,8,0
BCAM1,2024-W31,2024,W31,Black-tailed Jackrabbit,0,8,0
BCAM1,2024-W31,2024,W31,Human-Pedestrian,0,8,0
BCAM1,2024-W32,2024,W32,American Badger,0,7,0
BCAM1,2024-W32,2024,W32,Bobcat,1,7,0.14285714285714285
BCAM1,2024-W32,2024,W32,Coyote,0,7,0
BCAM1,2024-W32,2024,W32,Domestic Cattle,0,7,0
BCAM1,2024-W32,2024,W32,Domestic Dog,0,7,0
BCAM1,2024-W32,2024,W32,Human,0,7,0
BCAM1,2024-W32,2024,W32,Human-Camera Trapper,0,7,0
BCAM1,2024-W32,2024,W32,Mule Deer,3,7,0.42857142857142855
BCAM1,2024-W32,2024,W32,North American River Otter,0,7,0
BCAM1,2024-W32,2024,W32,Northern Elephant Seal,0,7,0
BCAM1,2024-W32,2024,W32,Northern Raccoon,0,7,0
BCAM1,2024-W32,2024,W32,Striped Skunk,0,7,0
BCAM1,2024-W32,2024,W32,Brush Rabbit,0,7,0
BCAM1,2024-W32,2024,W32,Californian Sea Lion,0,7,0
BCAM1,2024-W32,2024,W32,Elk,0,7,0
BCAM1,2024-W32,2024,W32,Black-tailed Jackrabbit,0,7,0
BCAM1,2024-W32,2024,W32,Human-Pedestrian,0,7,0
BCAM1,2024-W33,2024,W33,American Badger,0,7,0
BCAM1,2024-W33,2024,W33,Bobcat,3,7,0.42857142857142855
BCAM1,2024-W33,2024,W33,Coyote,0,7,0
BCAM1,2024-W33,2024,W33,Domestic Cattle,0,7,0
BCAM1,2024-W33,2024,W33,Domestic Dog,0,7,0
BCAM1,2024-W33,2024,W33,Human,1,7,0.14285714285714285
BCAM1,2024-W33,2024,W33,Human-Camera Trapper,0,7,0
BCAM1,2024-W33,2024,W33,Mule Deer,3,7,0.42857142857142855
BCAM1,2024-W33,2024,W33,North American River Otter,0,7,0
BCAM1,2024-W33,2024,W33,Northern Elephant Seal,0,7,0
BCAM1,2024-W33,2024,W33,Northern Raccoon,0,7,0
BCAM1,2024-W33,2024,W33,Striped Skunk,0,7,0
BCAM1,2024-W33,2024,W33,Brush Rabbit,0,7,0
BCAM1,2024-W33,2024,W33,Californian Sea Lion,0,7,0
BCAM1,2024-W33,2024,W33,Elk,0,7,0
BCAM1,2024-W33,2024,W33,Black-tailed Jackrabbit,0,7,0
BCAM1,2024-W33,2024,W33,Human-Pedestrian,0,7,0
BCAM1,2024-W35,2024,W35,American Badger,0,7,0
BCAM1,2024-W35,2024,W35,Bobcat,1,7,0.14285714285714285
BCAM1,2024-W35,2024,W35,Coyote,1,7,0.14285714285714285
BCAM1,2024-W35,2024,W35,Domestic Cattle,0,7,0
BCAM1,2024-W35,2024,W35,Domestic Dog,0,7,0
BCAM1,2024-W35,2024,W35,Human,0,7,0
BCAM1,2024-W35,2024,W35,Human-Camera Trapper,0,7,0
BCAM1,2024-W35,2024,W35,Mule Deer,3,7,0.42857142857142855
BCAM1,2024-W35,2024,W35,North American River Otter,0,7,0
BCAM1,2024-W35,2024,W35,Northern Elephant Seal,0,7,0
BCAM1,2024-W35,2024,W35,Northern Raccoon,0,7,0
BCAM1,2024-W35,2024,W35,Striped Skunk,0,7,0
BCAM1,2024-W35,2024,W35,Brush Rabbit,0,7,0
BCAM1,2024-W35,2024,W35,Californian Sea Lion,0,7,0
BCAM1,2024-W35,2024,W35,Elk,0,7,0
BCAM1,2024-W35,2024,W35,Black-tailed Jackrabbit,0,7,0
BCAM1,2024-W35,2024,W35,Human-Pedestrian,0,7,0
BCAM1,2024-W36,2024,W36,American Badger,0,8,0
BCAM1,2024-W36,2024,W36,Bobcat,1,8,0.125
BCAM1,2024-W36,2024,W36,Coyote,0,8,0
BCAM1,2024-W36,2024,W36,Domestic Cattle,0,8,0
BCAM1,2024-W36,2024,W36,Domestic Dog,0,8,0
BCAM1,2024-W36,2024,W36,Human,5,8,0.625
BCAM1,2024-W36,2024,W36,Human-Camera Trapper,2,8,0.25
BCAM1,2024-W36,2024,W36,Mule Deer,1,8,0.125
BCAM1,2024-W36,2024,W36,North American River Otter,0,8,0
BCAM1,2024-W36,2024,W36,Northern Elephant Seal,0,8,0
BCAM1,2024-W36,2024,W36,Northern Raccoon,0,8,0
BCAM1,2024-W36,2024,W36,Striped Skunk,0,8,0
BCAM1,2024-W36,2024,W36,Brush Rabbit,0,8,0
BCAM1,2024-W36,2024,W36,Californian Sea Lion,0,8,0
BCAM1,2024-W36,2024,W36,Elk,0,8,0
BCAM1,2024-W36,2024,W36,Black-tailed Jackrabbit,0,8,0
BCAM1,2024-W36,2024,W36,Human-Pedestrian,0,8,0
BCAM1,2024-W37,2024,W37,American Badger,0,7,0
BCAM1,2024-W37,2024,W37,Bobcat,1,7,0.14285714285714285
BCAM1,2024-W37,2024,W37,Coyote,0,7,0
BCAM1,2024-W37,2024,W37,Domestic Cattle,0,7,0
BCAM1,2024-W37,2024,W37,Domestic Dog,0,7,0
BCAM1,2024-W37,2024,W37,Human,2,7,0.2857142857142857
BCAM1,2024-W37,2024,W37,Human-Camera Trapper,0,7,0
BCAM1,2024-W37,2024,W37,Mule Deer,1,7,0.14285714285714285
BCAM1,2024-W37,2024,W37,North American River Otter,0,7,0
BCAM1,2024-W37,2024,W37,Northern Elephant Seal,0,7,0
BCAM1,2024-W37,2024,W37,Northern Raccoon,1,7,0.14285714285714285
BCAM1,2024-W37,2024,W37,Striped Skunk,0,7,0
BCAM1,2024-W37,2024,W37,Brush Rabbit,0,7,0
BCAM1,2024-W37,2024,W37,Californian Sea Lion,0,7,0
BCAM1,2024-W37,2024,W37,Elk,0,7,0
BCAM1,2024-W37,2024,W37,Black-tailed Jackrabbit,0,7,0
BCAM1,2024-W37,2024,W37,Human-Pedestrian,0,7,0
BCAM1,2024-W39,2024,W39,American Badger,0,7,0
BCAM1,2024-W39,2024,W39,Bobcat,1,7,0.14285714285714285
BCAM1,2024-W39,2024,W39,Coyote,0,7,0
BCAM1,2024-W39,2024,W39,Domestic Cattle,0,7,0
BCAM1,2024-W39,2024,W39,Domestic Dog,0,7,0
BCAM1,2024-W39,2024,W39,Human,2,7,0.2857142857142857
BCAM1,2024-W39,2024,W39,Human-Camera Trapper,0,7,0
BCAM1,2024-W39,2024,W39,Mule Deer,4,7,0.5714285714285714
BCAM1,2024-W39,2024,W39,North American River Otter,0,7,0
BCAM1,2024-W39,2024,W39,Northern Elephant Seal,0,7,0
BCAM1,2024-W39,2024,W39,Northern Raccoon,0,7,0
BCAM1,2024-W39,2024,W39,Striped Skunk,0,7,0
BCAM1,2024-W39,2024,W39,Brush Rabbit,0,7,0
BCAM1,2024-W39,2024,W39,Californian Sea Lion,0,7,0
BCAM1,2024-W39,2024,W39,Elk,0,7,0
BCAM1,2024-W39,2024,W39,Black-tailed Jackrabbit,0,7,0
BCAM1,2024-W39,2024,W39,Human-Pedestrian,0,7,0
BCAM1,2024-W47,2024,W47,American Badger,0,7,0
BCAM1,2024-W47,2024,W47,Bobcat,1,7,0.14285714285714285
BCAM1,2024-W47,2024,W47,Coyote,1,7,0.14285714285714285
BCAM1,2024-W47,2024,W47,Domestic Cattle,0,7,0
BCAM1,2024-W47,2024,W47,Domestic Dog,0,7,0
BCAM1,2024-W47,2024,W47,Human,2,7,0.2857142857142857
BCAM1,2024-W47,2024,W47,Human-Camera Trapper,0,7,0
BCAM1,2024-W47,2024,W47,Mule Deer,0,7,0
BCAM1,2024-W47,2024,W47,North American River Otter,0,7,0
BCAM1,2024-W47,2024,W47,Northern Elephant Seal,0,7,0
BCAM1,2024-W47,2024,W47,Northern Raccoon,0,7,0
BCAM1,2024-W47,2024,W47,Striped Skunk,0,7,0
BCAM1,2024-W47,2024,W47,Brush Rabbit,0,7,0
