placename,year_month,year,month,common_name,n_detections,sampling_days,detection_rate
BCAM1,2024-04,2024,04,Human-Camera Trapper,2,31,0.06451612903225806
BCAM1,2024-04,2024,04,Mule Deer,1,31,0.03225806451612903
BCAM1,2024-04,2024,04,North American River Otter,0,31,0
BCAM1,2024-04,2024,04,Northern Elephant Seal,0,31,0
BCAM1,2024-04,2024,04,Northern Raccoon,0,31,0
BCAM1,2024-04,2024,04,Striped Skunk,0,31,0
BCAM1,2024-04,2024,04,Brush Rabbit,0,31,0
BCAM1,2024-04,2024,04,Californian Sea Lion,0,31,0
BCAM1,2024-04,2024,04,Elk,0,31,0
BCAM1,2024-04,2024,04,Black-tailed Jackrabbit,0,31,0
BCAM1,2024-04,2024,04,Human-Pedestrian,0,31,0
BCAM1,2024-05,2024,05,American Badger,0,32,0
BCAM1,2024-05,2024,05,Bobcat,5,32,0.15625
BCAM1,2024-05,2024,05,Coyote,0,32,0
BCAM1,2024-05,2024,05,Domestic Cattle,0,32,0
BCAM1,2024-05,2024,05,Domestic Dog,0,32,0
BCAM1,2024-05,2024,05,Human,19,32,0.59375
BCAM1,2024-05,2024,05,Human-Camera Trapper,2,32,0.0625
BCAM1,2024-05,2024,05,Mule Deer,9,32,0.28125
BCAM1,2024-05,2024,05,North American River Otter,0,32,0
BCAM1,2024-05,2024,05,Northern Elephant Seal,1,32,0.03125
BCAM1,2024-05,2024,05,Northern Raccoon,0,32,0
BCAM1,2024-05,2024,05,Striped Skunk,0,32,0
BCAM1,2024-05,2024,05,Brush Rabbit,0,32,0
BCAM1,2024-05,2024,05,Californian Sea Lion,0,32,0
BCAM1,2024-05,2024,05,Elk,0,32,0
BCAM1,2024-05,2024,05,Black-tailed Jackrabbit,0,32,0
BCAM1,2024-05,2024,05,Human-Pedestrian,0,32,0
BCAM1,2024-06,2024,06,American Badger,0,32,0
BCAM1,2024-06,2024,06,Bobcat,9,32,0.28125
BCAM1,2024-06,2024,06,Coyote,0,32,0
BCAM1,2024-06,2024,06,Domestic Cattle,0,32,0
BCAM1,2024-06,2024,06,Domestic Dog,0,32,0
BCAM1,2024-06,2024,06,Human,16,32,0.5
BCAM1,2024-06,2024,06,Human-Camera Trapper,3,32,0.09375
BCAM1,2024-06,2024,06,Mule Deer,6,32,0.1875
BCAM1,2024-06,2024,06,North American River Otter,0,32,0
BCAM1,2024-06,2024,06,Northern Elephant Seal,0,32,0
BCAM1,2024-06,2024,06,Northern Raccoon,0,32,0
BCAM1,2024-06,2024,06,Striped Skunk,0,32,0
BCAM1,2024-06,2024,06,Brush Rabbit,0,32,0
BCAM1,2024-06,2024,06,Californian Sea Lion,0,32,0
BCAM1,2024-06,2024,06,Elk,0,32,0
BCAM1,2024-06,2024,06,Black-tailed Jackrabbit,0,32,0
BCAM1,2024-06,2024,06,Human-Pedestrian,0,32,0
BCAM1,2024-07,2024,07,American Badger,0,31,0
BCAM1,2024-07,2024,07,Bobcat,10,31,0.3225806451612903
BCAM1,2024-07,2024,07,Coyote,2,31,0.06451612903225806
BCAM1,2024-07,2024,07,Domestic Cattle,0,31,0
BCAM1,2024-07,2024,07,Domestic Dog,0,31,0
BCAM1,2024-07,2024,07,Human,14,31,0.45161290322580644
BCAM1,2024-07,2024,07,Human-Camera Trapper,0,31,0
BCAM1,2024-07,2024,07,Mule Deer,9,31,0.2903225806451613
BCAM1,2024-07,2024,07,North American River Otter,0,31,0
BCAM1,2024-07,2024,07,Northern Elephant Seal,0,31,0
BCAM1,2024-07,2024,07,Northern Raccoon,0,31,0
BCAM1,2024-07,2024,07,Striped Skunk,0,31,0
BCAM1,2024-07,2024,07,Brush Rabbit,0,31,0
BCAM1,2024-07,2024,07,Californian Sea Lion,0,31,0
BCAM1,2024-07,2024,07,Elk,0,31,0
BCAM1,2024-07,2024,07,Black-tailed Jackrabbit,0,31,0
BCAM1,2024-07,2024,07,Human-Pedestrian,0,31,0
BCAM1,2024-09,2024,09,American Badger,0,31,0
BCAM1,2024-09,2024,09,Bobcat,3,31,0.0967741935483871
BCAM1,2024-09,2024,09,Coyote,0,31,0
BCAM1,2024-09,2024,09,Domestic Cattle,0,31,0
BCAM1,2024-09,2024,09,Domestic Dog,0,31,0
BCAM1,2024-09,2024,09,Human,14,31,0.45161290322580644
BCAM1,2024-09,2024,09,Human-Camera Trapper,2,31,0.06451612903225806
BCAM1,2024-09,2024,09,Mule Deer,10,31,0.3225806451612903
BCAM1,2024-09,2024,09,North American River Otter,0,31,0
BCAM1,2024-09,2024,09,Northern Elephant Seal,0,31,0
BCAM1,2024-09,2024,09,Northern Raccoon,1,31,0.03225806451612903
BCAM1,2024-09,2024,09,Striped Skunk,0,31,0
BCAM1,2024-09,2024,09,Brush Rabbit,0,31,0
BCAM1,2024-09,2024,09,Californian Sea Lion,0,31,0
BCAM1,2024-09,2024,09,Elk,0,31,0
BCAM1,2024-09,2024,09,Black-tailed Jackrabbit,0,31,0
BCAM1,2024-09,2024,09,Human-Pedestrian,0,31,0
BCAM1,2024-11,2024,11,American Badger,0,31,0
BCAM1,2024-11,2024,11,Bobcat,1,31,0.03225806451612903
BCAM1,2024-11,2024,11,Coyote,1,31,0.03225806451612903
BCAM1,2024-11,2024,11,Domestic Cattle,0,31,0
BCAM1,2024-11,2024,11,Domestic Dog,0,31,0
BCAM1,2024-11,2024,11,Human,20,31,0.6451612903225806
BCAM1,2024-11,2024,11,Human-Camera Trapper,2,31,0.06451612903225806
BCAM1,2024-11,2024,11,Mule Deer,9,31,0.2903225806451613
BCAM1,2024-11,2024,11,North American River Otter,2,31,0.06451612903225806
BCAM1,2024-11,2024,11,Northern Elephant Seal,0,31,0
BCAM1,2024-11,2024,11,Northern Raccoon,5,31,0.16129032258064516
BCAM1,2024-11,2024,11,Striped Skunk,0,31,0
BCAM1,2024-11,2024,11,Brush Rabbit,0,31,0
BCAM1,2024-11,2024,11,Californian Sea Lion,0,31,0
BCAM1,2024-11,2024,11,Elk,0,31,0
BCAM1,2024-11,2024,11,Black-tailed Jackrabbit,0,31,0
BCAM1,2024-11,2024,11,Human-Pedestrian,0,31,0
BCAM1,2024-12,2024,12,American Badger,0,32,0
BCAM1,2024-12,2024,12,Bobcat,1,32,0.03125
BCAM1,2024-12,2024,12,Coyote,3,32,0.09375
BCAM1,2024-12,2024,12,Domestic Cattle,0,32,0
BCAM1,2024-12,2024,12,Domestic Dog,0,32,0
BCAM1,2024-12,2024,12,Human,20,32,0.625
BCAM1,2024-12,2024,12,Human-Camera Trapper,3,32,0.09375
BCAM1,2024-12,2024,12,Mule Deer,0,32,0
BCAM1,2024-12,2024,12,North American River Otter,0,32,0
BCAM1,2024-12,2024,12,Northern Elephant Seal,2,32,0.0625
BCAM1,2024-12,2024,12,Northern Raccoon,4,32,0.125
BCAM1,2024-12,2024,12,Striped Skunk,1,32,0.03125
BCAM1,2024-12,2024,12,Brush Rabbit,0,32,0
BCAM1,2024-12,2024,12,Californian Sea Lion,0,32,0
BCAM1,2024-12,2024,12,Elk,0,32,0
BCAM1,2024-12,2024,12,Black-tailed Jackrabbit,0,32,0
BCAM1,2024-12,2024,12,Human-Pedestrian,0,32,0
BCAM1,2022-12,2022,12,American Badger,0,10,0
BCAM1,2022-12,2022,12,Bobcat,0,10,0
BCAM1,2022-12,2022,12,Coyote,3,10,0.3
BCAM1,2022-12,2022,12,Domestic Cattle,0,10,0
BCAM1,2022-12,2022,12,Domestic Dog,0,10,0
BCAM1,2022-12,2022,12,Human,9,10,0.9
BCAM1,2022-12,2022,12,Human-Camera Trapper,2,10,0.2
BCAM1,2022-12,2022,12,Mule Deer,0,10,0
BCAM1,2022-12,2022,12,North American River Otter,0,10,0
BCAM1,2022-12,2022,12,Northern Elephant Seal,1,10,0.1
BCAM1,2022-12,2022,12,Northern Raccoon,0,10,0
BCAM1,2022-12,2022,12,Striped Skunk,0,10,0
BCAM1,2022-12,2022,12,Brush Rabbit,0,10,0
BCAM1,2022-12,2022,12,Californian Sea Lion,0,10,0
BCAM1,2022-12,2022,12,Elk,0,10,0
BCAM1,2022-12,2022,12,Black-tailed Jackrabbit,0,10,0
BCAM1,2022-12,2022,12,Human-Pedestrian,0,10,0
BCAM1,2023-01,2023,01,American Badger,0,32,0
BCAM1,2023-01,2023,01,Bobcat,0,32,0
BCAM1,2023-01,2023,01,Coyote,3,32,0.09375
BCAM1,2023-01,2023,01,Domestic Cattle,0,32,0
BCAM1,2023-01,2023,01,Domestic Dog,0,32,0
BCAM1,2023-01,2023,01,Human,10,32,0.3125
BCAM1,2023-01,2023,01,Human-Camera Trapper,0,32,0
BCAM1,2023-01,2023,01,Mule Deer,0,32,0
BCAM1,2023-01,2023,01,North American River Otter,0,32,0
BCAM1,2023-01,2023,01,Northern Elephant Seal,4,32,0.125
BCAM1,2023-01,2023,01,Northern Raccoon,0,32,0
BCAM1,2023-01,2023,01,Striped Skunk,0,32,0
BCAM1,2023-01,2023,01,Brush Rabbit,0,32,0
BCAM1,2023-01,2023,01,Californian Sea Lion,0,32,0
BCAM1,2023-01,2023,01,Elk,0,32,0
BCAM1,2023-01,2023,01,Black-tailed Jackrabbit,0,32,0
BCAM1,2023-01,2023,01,Human-Pedestrian,0,32,0
BCAM1,2023-02,2023,02,American Badger,0,28,0
BCAM1,2023-02,2023,02,Bobcat,0,28,0
BCAM1,2023-02,2023,02,Coyote,2,28,0.07142857142857142
BCAM1,2023-02,2023,02,Domestic Cattle,0,28,0
BCAM1,2023-02,2023,02,Domestic Dog,0,28,0
BCAM1,2023-02,2023,02,Human,9,28,0.32142857142857145
BCAM1,2023-02,2023,02,Human-Camera Trapper,0,28,0
BCAM1,2023-02,2023,02,Mule Deer,0,28,0
BCAM1,2023-02,2023,02,North American River Otter,0,28,0
BCAM1,2023-02,2023,02,Northern Elephant Seal,24,28,0.8571428571428571
BCAM1,2023-02,2023,02,Northern Raccoon,0,28,0
BCAM1,2023-02,2023,02,Striped Skunk,0,28,0
BCAM1,2023-02,2023,02,Brush Rabbit,0,28,0
BCAM1,2023-02,2023,02,Californian Sea Lion,0,28,0
BCAM1,2023-02,2023,02,Elk,0,28,0
BCAM1,2023-02,2023,02,Black-tailed Jackrabbit,0,28,0
BCAM1,2023-02,2023,02,Human-Pedestrian,0,28,0
BCAM1,2023-03,2023,03,American Badger,0,10,0
BCAM1,2023-03,2023,03,Bobcat,0,10,0
BCAM1,2023-03,2023,03,Coyote,6,10,0.6
BCAM1,2023-03,2023,03,Domestic Cattle,0,10,0
BCAM1,2023-03,2023,03,Domestic Dog,0,10,0
BCAM1,2023-03,2023,03,Human,0,10,0
BCAM1,2023-03,2023,03,Human-Camera Trapper,0,10,0
BCAM1,2023-03,2023,03,Mule Deer,0,10,0
BCAM1,2023-03,2023,03,North American River Otter,0,10,0
BCAM1,2023-03,2023,03,Northern Elephant Seal,3,10,0.3
BCAM1,2023-03,2023,03,Northern Raccoon,0,10,0
BCAM1,2023-03,2023,03,Striped Skunk,0,10,0
BCAM1,2023-03,2023,03,Brush Rabbit,0,10,0
BCAM1,2023-03,2023,03,Californian Sea Lion,0,10,0
BCAM1,2023-03,2023,03,Elk,0,10,0
BCAM1,2023-03,2023,03,Black-tailed Jackrabbit,0,10,0
BCAM1,2023-03,2023,03,Human-Pedestrian,0,10,0
BCAM1,2024-01,2024,01,American Badger,0,20,0
BCAM1,2024-01,2024,01,Bobcat,0,20,0
BCAM1,2024-01,2024,01,Coyote,7,20,0.35
BCAM1,2024-01,2024,01,Domestic Cattle,0,20,0
BCAM1,2024-01,2024,01,Domestic Dog,0,20,0
BCAM1,2024-01,2024,01,Human,2,20,0.1
BCAM1,2024-01,2024,01,Human-Camera Trapper,0,20,0
BCAM1,2024-01,2024,01,Mule Deer,0,20,0
BCAM1,2024-01,2024,01,North American River Otter,0,20,0
BCAM1,2024-01,2024,01,Northern Elephant Seal,43,20,2.15
BCAM1,2024-01,2024,01,Northern Raccoon,0,20,0
BCAM1,2024-01,2024,01,Striped Skunk,0,20,0
BCAM1,2024-01,2024,01,Brush Rabbit,0,20,0
BCAM1,2024-01,2024,01,Californian Sea Lion,0,20,0
BCAM1,2024-01,2024,01,Elk,0,20,0
BCAM1,2024-01,2024,01,Black-tailed Jackrabbit,0,20,0
BCAM1,2024-01,2024,01,Human-Pedestrian,0,20,0
BCAM1,2024-02,2024,02,American Badger,0,10,0
BCAM1,2024-02,2024,02,Bobcat,0,10,0
BCAM1,2024-02,2024,02,Coyote,1,10,0.1
BCAM1,2024-02,2024,02,Domestic Cattle,1,10,0.1
BCAM1,2024-02,2024,02,Domestic Dog,0,10,0
BCAM1,2024-02,2024,02,Human,4,10,0.4
BCAM1,2024-02,2024,02,Human-Camera Trapper,1,10,0.1
BCAM1,2024-02,2024,02,Mule Deer,0,10,0
BCAM1,2024-02,2024,02,North American River Otter,0,10,0
BCAM1,2024-02,2024,02,Northern Elephant Seal,43,10,4.3
BCAM1,2024-02,2024,02,Northern Raccoon,0,10,0
BCAM1,2024-02,2024,02,Striped Skunk,0,10,0
BCAM1,2024-02,2024,02,Brush Rabbit,0,10,0
BCAM1,2024-02,2024,02,Californian Sea Lion,0,10,0
BCAM1,2024-02,2024,02,Elk,0,10,0
BCAM1,2024-02,2024,02,Black-tailed Jackrabbit,0,10,0
BCAM1,2024-02,2024,02,Human-Pedestrian,0,10,0
BCAM1,2024-10,2024,10,American Badger,0,32,0
BCAM1,2024-10,2024,10,Bobcat,0,32,0
BCAM1,2024-10,2024,10,Coyote,3,32,0.09375
BCAM1,2024-10,2024,10,Domestic Cattle,0,32,0
BCAM1,2024-10,2024,10,Domestic Dog,0,32,0
BCAM1,2024-10,2024,10,Human,20,32,0.625
BCAM1,2024-10,2024,10,Human-Camera Trapper,2,32,0.0625
BCAM1,2024-10,2024,10,Mule Deer,12,32,0.375
BCAM1,2024-10,2024,10,North American River Otter,0,32,0
BCAM1,2024-10,2024,10,Northern Elephant Seal,0,32,0
BCAM1,2024-10,2024,10,Northern Raccoon,3,32,0.09375
BCAM1,2024-10,2024,10,Striped Skunk,0,32,0
BCAM1,2024-10,2024,10,Brush Rabbit,0,32,0
BCAM1,2024-10,2024,10,Californian Sea Lion,0,32,0
BCAM1,2024-10,2024,10,Elk,0,32,0
BCAM1,2024-10,2024,10,Black-tailed Jackrabbit,0,32,0
BCAM1,2024-10,2024,10,Human-Pedestrian,0,32,0
BCAM1,2025-01,2025,01,American Badger,0,32,0
BCAM1,2025-01,2025,01,Bobcat,0,32,0
BCAM1,2025-01,2025,01,Coyote,7,32,0.21875
BCAM1,2025-01,2025,01,Domestic Cattle,0,32,0
BCAM1,2025-01,2025,01,Domestic Dog,0,32,0
BCAM1,2025-01,2025,01,Human,3,32,0.09375
BCAM1,2025-01,2025,01,Human-Camera Trapper,2,32,0.0625
BCAM1,2025-01,2025,01,Mule Deer,0,32,0
BCAM1,2025-01,2025,01,North American River Otter,0,32,0
BCAM1,2025-01,2025,01,Northern Elephant Seal,11,32,0.34375
BCAM1,2025-01,2025,01,Northern Raccoon,0,32,0
BCAM1,2025-01,2025,01,Striped Skunk,0,32,0
BCAM1,2025-01,2025,01,Brush Rabbit,0,32,0
BCAM1,2025-01,2025,01,Californian Sea Lion,0,32,0
BCAM1,2025-01,2025,01,Elk,0,32,0
BCAM1,2025-01,2025,01,Black-tailed Jackrabbit,0,32,0
BCAM1,2025-01,2025,01,Human-Pedestrian,0,32,0
BCAM1,2025-02,2025,02,American Badger,0,30,0
BCAM1,2025-02,2025,02,Bobcat,0,30,0
BCAM1,2025-02,2025,02,Coyote,7,30,0.23333333333333334
BCAM1,2025-02,2025,02,Domestic Cattle,0,30,0
BCAM1,2025-02,2025,02,Domestic Dog,0,30,0
BCAM1,2025-02,2025,02,Human,2,30,0.06666666666666667
BCAM1,2025-02,2025,02,Human-Camera Trapper,3,30,0.1
BCAM1,2025-02,2025,02,Mule Deer,0,30,0
BCAM1,2025-02,2025,02,North American River Otter,0,30,0
BCAM1,2025-02,2025,02,Northern Elephant Seal,5,30,0.16666666666666666
BCAM1,2025-02,2025,02,Northern Raccoon,0,30,0
BCAM1,2025-02,2025,02,Striped Skunk,0,30,0
BCAM1,2025-02,2025,02,Brush Rabbit,0,30,0
BCAM1,2025-02,2025,02,Californian Sea Lion,0,30,0
BCAM1,2025-02,2025,02,Elk,0,30,0
BCAM1,2025-02,2025,02,Black-tailed Jackrabbit,0,30,0
BCAM1,2025-02,2025,02,Human-Pedestrian,0,30,0
BCAM1,2024-03,2024,03,American Badger,0,23,0
BCAM1,2024-03,2024,03,Bobcat,0,23,0
BCAM1,2024-03,2024,03,Coyote,0,23,0
BCAM1,2024-03,2024,03,Domestic Cattle,0,23,0
BCAM1,2024-03,2024,03,Domestic Dog,0,23,0
BCAM1,2024-03,2024,03,Human,2,23,0.08695652173913043
BCAM1,2024-03,2024,03,Human-Camera Trapper,1,23,0.043478260869565216
BCAM1,2024-03,2024,03,Mule Deer,0,23,0
BCAM1,2024-03,2024,03,North American River Otter,0,23,0
BCAM1,2024-03,2024,03,Northern Elephant Seal,81,23,3.5217391304347827
BCAM1,2024-03,2024,03,Northern Raccoon,0,23,0
BCAM1,2024-03,2024,03,Striped Skunk,0,23,0
BCAM1,2024-03,2024,03,Brush Rabbit,0,23,0
BCAM1,2024-03,2024,03,Californian Sea Lion,0,23,0
BCAM1,2024-03,2024,03,Elk,0,23,0
BCAM1,2024-03,2024,03,Black-tailed Jackrabbit,0,23,0
BCAM1,2024-03,2024,03,Human-Pedestrian,0,23,0
BCAM1,2023-11,2023,11,American Badger,0,4,0
BCAM1,2023-11,2023,11,Bobcat,0,4,0
BCAM1,2023-11,2023,11,Coyote,0,4,0
BCAM1,2023-11,2023,11,Domestic Cattle,0,4,0
BCAM1,2023-11,2023,11,Domestic Dog,0,4,0
BCAM1,2023-11,2023,11,Human,0,4,0
BCAM1,2023-11,2023,11,Human-Camera Trapper,1,4,0.25
BCAM1,2023-11,2023,11,Mule Deer,0,4,0
BCAM1,2023-11,2023,11,North American River Otter,0,4,0
BCAM1,2023-11,2023,11,Northern Elephant Seal,0,4,0
BCAM1,2023-11,2023,11,Northern Raccoon,0,4,0
BCAM1,2023-11,2023,11,Striped Skunk,1,4,0.25
BCAM1,2023-11,2023,11,Brush Rabbit,0,4,0
BCAM1,2023-11,2023,11,Californian Sea Lion,0,4,0
BCAM1,2023-11,2023,11,Elk,0,4,0
BCAM1,2023-11,2023,11,Black-tailed Jackrabbit,0,4,0
BCAM1,2023-11,2023,11,Human-Pedestrian,0,4,0
BCAM1,2025-03,2025,03,American Badger,0,33,0
BCAM1,2025-03,2025,03,Bobcat,0,33,0
BCAM1,2025-03,2025,03,Coyote,0,33,0
BCAM1,2025-03,2025,03,Domestic Cattle,0,33,0
BCAM1,2025-03,2025,03,Domestic Dog,0,33,0
BCAM1,2025-03,2025,03,Human,0,33,0
BCAM1,2025-03,2025,03,Human-Camera Trapper,0,33,0
BCAM1,2025-03,2025,03,Mule Deer,0,33,0
BCAM1,2025-03,2025,03,North American River Otter,0,33,0
BCAM1,2025-03,2025,03,Northern Elephant Seal,1,33,0.030303030303030304
BCAM1,2025-03,2025,03,Northern Raccoon,0,33,0
BCAM1,2025-03,2025,03,Striped Skunk,0,33,0
BCAM1,2025-03,2025,03,Brush Rabbit,0,33,0
BCAM1,2025-03,2025,03,Californian Sea Lion,0,33,0
BCAM1,2025-03,2025,03,Elk,0,33,0
BCAM1,2025-03,2025,03,Black-tailed Jackrabbit,0,33,0
BCAM1,2025-03,2025,03,Human-Pedestrian,0,33,0
BCAM10,2023-11,2023,11,American Badger,0,26,0
BCAM10,2023-11,2023,11,Bobcat,8,26,0.3076923076923077
BCAM10,2023-11,2023,11,Coyote,8,26,0.3076923076923077
BCAM10,2023-11,2023,11,Domestic Cattle,0,26,0
BCAM10,2023-11,2023,11,Domestic Dog,0,26,0
BCAM10,2023-11,2023,11,Human,1,26,0.038461538461538464
BCAM10,2023-11,2023,11,Human-Camera Trapper,1,26,0.038461538461538464
BCAM10,2023-11,2023,11,Mule Deer,2,26,0.07692307692307693
BCAM10,2023-11,2023,11,North American River Otter,0,26,0
BCAM10,2023-11,2023,11,Northern Elephant Seal,0,26,0
BCAM10,2023-11,2023,11,Northern Raccoon,35,26,1.3461538461538463
BCAM10,2023-11,2023,11,Striped Skunk,7,26,0.2692307692307692
BCAM10,2023-11,2023,11,Brush Rabbit,0,26,0
BCAM10,2023-11,2023,11,Californian Sea Lion,0,26,0
BCAM10,2023-11,2023,11,Elk,0,26,0
BCAM10,2023-11,2023,11,Black-tailed Jackrabbit,0,26,0
BCAM10,2023-11,2023,11,Human-Pedestrian,0,26,0
BCAM10,2023-12,2023,12,American Badger,0,21,0
BCAM10,2023-12,2023,12,Bobcat,7,21,0.3333333333333333
BCAM10,2023-12,2023,12,Coyote,9,21,0.42857142857142855
BCAM10,2023-12,2023,12,Domestic Cattle,0,21,0
BCAM10,2023-12,2023,12,Domestic Dog,0,21,0
BCAM10,2023-12,2023,12,Human,0,21,0
BCAM10,2023-12,2023,12,Human-Camera Trapper,1,21,0.047619047619047616
BCAM10,2023-12,2023,12,Mule Deer,1,21,0.047619047619047616
BCAM10,2023-12,2023,12,North American River Otter,0,21,0
BCAM10,2023-12,2023,12,Northern Elephant Seal,3,21,0.14285714285714285
BCAM10,2023-12,2023,12,Northern Raccoon,16,21,0.7619047619047619
BCAM10,2023-12,2023,12,Striped Skunk,1,21,0.047619047619047616
BCAM10,2023-12,2023,12,Brush Rabbit,1,21,0.047619047619047616
BCAM10,2023-12,2023,12,Californian Sea Lion,0,21,0
BCAM10,2023-12,2023,12,Elk,0,21,0
BCAM10,2023-12,2023,12,Black-tailed Jackrabbit,0,21,0
BCAM10,2023-12,2023,12,Human-Pedestrian,0,21,0
BCAM11,2023-11,2023,11,American Badger,1,31,0.03225806451612903
BCAM11,2023-11,2023,11,Bobcat,3,31,0.0967741935483871
BCAM11,2023-11,2023,11,Coyote,9,31,0.2903225806451613
BCAM11,2023-11,2023,11,Domestic Cattle,0,31,0
BCAM11,2023-11,2023,11,Domestic Dog,0,31,0
BCAM11,2023-11,2023,11,Human,0,31,0
BCAM11,2023-11,2023,11,Human-Camera Trapper,2,31,0.06451612903225806
BCAM11,2023-11,2023,11,Mule Deer,13,31,0.41935483870967744
BCAM11,2023-11,2023,11,North American River Otter,0,31,0
BCAM11,2023-11,2023,11,Northern Elephant Seal,0,31,0
BCAM11,2023-11,2023,11,Northern Raccoon,4,31,0.12903225806451613
BCAM11,2023-11,2023,11,Striped Skunk,3,31,0.0967741935483871
BCAM11,2023-11,2023,11,Brush Rabbit,0,31,0
BCAM11,2023-11,2023,11,Californian Sea Lion,0,31,0
BCAM11,2023-11,2023,11,Elk,0,31,0
BCAM11,2023-11,2023,11,Black-tailed Jackrabbit,0,31,0
BCAM11,2023-11,2023,11,Human-Pedestrian,0,31,0
BCAM11,2023-12,2023,12,American Badger,1,32,0.03125
BCAM11,2023-12,2023,12,Bobcat,2,32,0.0625
BCAM11,2023-12,2023,12,Coyote,4,32,0.125
BCAM11,2023-12,2023,12,Domestic Cattle,0,32,0
BCAM11,2023-12,2023,12,Domestic Dog,0,32,0
BCAM11,2023-12,2023,12,Human,2,32,0.0625
BCAM11,2023-12,2023,12,Human-Camera Trapper,2,32,0.0625
BCAM11,2023-12,2023,12,Mule Deer,1,32,0.03125
BCAM11,2023-12,2023,12,North American River Otter,0,32,0
BCAM11,2023-12,2023,12,Northern Elephant Seal,0,32,0
BCAM11,2023-12,2023,12,Northern Raccoon,0,32,0
BCAM11,2023-12,2023,12,Striped Skunk,0,32,0
BCAM11,2023-12,2023,12,Brush Rabbit,0,32,0
BCAM11,2023-12,2023,12,Californian Sea Lion,0,32,0
BCAM11,2023-12,2023,12,Elk,0,32,0
BCAM11,2023-12,2023,12,Black-tailed Jackrabbit,0,32,0
BCAM11,2023-12,2023,12,Human-Pedestrian,0,32,0
BCAM11,2023-09,2023,09,American Badger,0,26,0
BCAM11,2023-09,2023,09,Bobcat,2,26,0.07692307692307693
BCAM11,2023-09,2023,09,Coyote,2,26,0.07692307692307693
